19,"t","Honey: Released March 18, 2022, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
19,"t","Colonies, Yield, Production, Stocks, Price, and Value – States and United States: 2020"
19,"t","[Colonies which produced honey in more than one State were counted in each State]"
19,"h","","","","","","",""
19,"h","","Honey","Yield","","","Average","Value"
19,"h","State","producing","per","Production","Stocks","price per","of"
19,"h","","colonies 1/","colony","","December 15 2/","pound 3/","production 4/"
19,"h","","","","","","",""
19,"u","","(1,000)","(pounds)","(1,000 pounds)","(1,000 pounds)","(dollars)","(1,000 dollars)"
19,"d","Alabama",7,39,273,66,5.52,1507
19,"d","Arizona",25,36,900,360,2.38,2142
19,"d","Arkansas",20,49,980,176,1.85,1813
19,"d","California",320,43,13760,2752,1.95,26832
19,"d","Colorado",30,41,1230,455,2.39,2940
19,"d","Florida",192,46,8832,883,2.24,19784
19,"d","Georgia",101,34,3434,412,2.52,8654
19,"d","Hawaii",15,105,1575,79,1.70,2678
19,"d","Idaho",107,35,3745,637,1.76,6591
19,"d","Illinois",10,52,520,156,5.65,2938
19,"d","",,,,,,
19,"d","Indiana",9,55,495,149,3.91,1935
19,"d","Iowa",35,58,2030,1259,2.54,5156
19,"d","Kansas",8,62,496,164,3.25,1612
19,"d","Kentucky",7,33,231,58,5.76,1331
19,"d","Louisiana",33,69,2277,228,2.46,5601
19,"d","Maine",10,30,300,78,3.36,1008
19,"d","Michigan",95,47,4465,1384,2.95,13172
19,"d","Minnesota",108,55,5940,2495,1.80,10692
19,"d","Mississippi",25,73,1825,146,1.99,3632
19,"d","Missouri",9,41,369,100,3.59,1325
19,"d","",,,,,,
19,"d","Montana",110,81,8910,3208,1.61,14345
19,"d","Nebraska",37,52,1924,250,1.69,3252
19,"d","New Jersey",14,31,434,91,4.32,1875
19,"d","New York",58,56,3248,844,3.13,10166
19,"d","North Carolina",12,38,456,123,5.50,2508
19,"d","North Dakota",495,78,38610,8108,1.59,61390
19,"d","Ohio",16,75,1200,576,3.50,4200
19,"d","Oregon",95,29,2755,1102,2.40,6612
19,"d","Pennsylvania",19,48,912,392,4.12,3757
19,"d","South Carolina",16,46,736,66,3.44,2532
19,"d","",,,,,,
19,"d","South Dakota",245,61,14945,8668,1.77,26453
19,"d","Tennessee",7,51,357,54,4.23,1510
19,"d","Texas",157,57,8949,1253,2.00,17898
19,"d","Utah",28,34,952,171,2.02,1923
19,"d","Vermont",6,47,282,96,3.94,1111
19,"d","Virginia",5,40,200,54,6.03,1206
19,"d","Washington",98,37,3626,798,2.51,9101
19,"d","West Virginia",6,46,276,58,3.81,1052
19,"d","Wisconsin",45,50,2250,855,3.11,6998
19,"d","Wyoming",38,40,1520,608,1.71,2599
19,"d","",,,,,,
19,"d","Other States 5/ 6/",33,42,1375,303,4.68,6435
19,"d","",,,,,,
19,"d","United States 6/ 7/",2706,54.5,147594,39715,2.10,309947
19,"c",""
19,"f","1/ Honey producing colonies are the maximum number of colonies from which honey was harvested during the year. It is possible to harvest honey from colonies which did not survive the entire year."
19,"f","2/ Stocks held by producers."
19,"f","3/ Average price per pound based on expanded sales."
19,"f","4/ Value of production is equal to production multiplied by average price per pound."
19,"f","5/ Includes data for States not published in this table."
19,"f","6/ Due to rounding, total colonies multiplied by total yield may not exactly equal production."
19,"f","7/ United States value of production will not equal summation of States."
20,"t","Honey: Released March 18, 2022, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
20,"t","Colonies, Yield, Production, Stocks, Price, and Value – States and United States: 2021"
20,"t","[Colonies which produced honey in more than one State were counted in each State]"
20,"h","","","","","","",""
20,"h","","Honey","Yield","","","Average","Value"
20,"h","State","producing","per","Production","Stocks","price per","of"
20,"h","","colonies 1/","colony","","December 15 2/","pound 3/","production 4/"
20,"h","","","","","","",""
20,"u","","(1,000)","(pounds)","(1,000 pounds)","(1,000 pounds)","(dollars)","(1,000 dollars)"
20,"d","Alabama",8,40,320,112,5.99,1917
20,"d","Arizona",26,40,1040,368,2.34,2434
20,"d","Arkansas",17,50,850,255,2.07,1760
20,"d","California",290,33,9570,1627,2.40,22968
20,"d","Colorado",29,40,1160,232,2.78,3225
20,"d","Florida",193,44,8492,849,2.42,20551
20,"d","Georgia",96,34,3264,261,2.73,8911
20,"d","Hawaii",15,93,1395,56,2.21,3083
20,"d","Idaho",100,30,3000,270,2.37,7110
20,"d","Illinois",10,46,460,115,5.83,2682
20,"d","",,,,,,
20,"d","Indiana",10,52,520,177,3.89,2023
20,"d","Iowa",38,55,2090,502,2.46,5141
20,"d","Kansas",7,42,294,144,2.74,806
20,"d","Kentucky",7,37,259,73,4.60,1191
20,"d","Louisiana",37,58,2146,205,2.50,5365
20,"d","Maine",11,34,374,60,3.18,1189
20,"d","Michigan",101,51,5151,1957,2.97,15298
20,"d","Minnesota",125,57,7125,285,2.32,16530
20,"d","Mississippi",25,71,1775,71,2.77,4917
20,"d","Missouri",8,35,280,92,3.99,1117
20,"d","",,,,,,
20,"d","Montana",117,57,6669,1934,2.17,14472
20,"d","Nebraska",39,47,1833,550,2.17,3978
20,"d","New Jersey",15,35,525,158,3.27,1717
20,"d","New York",57,53,3021,665,4.15,12537
20,"d","North Carolina",13,39,507,104,6.84,3468
20,"d","North Dakota",515,55,28325,2266,2.19,62032
20,"d","Ohio",16,64,1024,389,3.70,3789
20,"d","Oregon",86,31,2666,693,2.14,5705
20,"d","Pennsylvania",20,42,840,336,3.40,2856
20,"d","South Carolina",16,42,672,67,5.32,3575
20,"d","",,,,,,
20,"d","South Dakota",250,49,12250,5268,2.27,27808
20,"d","Tennessee",8,56,448,81,5.00,2240
20,"d","Texas",137,56,7672,384,2.30,17646
20,"d","Utah",31,33,1023,92,2.18,2230
20,"d","Vermont",7,47,329,76,3.28,1079
20,"d","Virginia",6,40,240,79,8.23,1975
20,"d","Washington",96,32,3072,1206,2.52,7741
20,"d","West Virginia",6,43,258,136,4.80,1238
20,"d","Wisconsin",42,47,1974,750,2.81,5547
20,"d","Wyoming",38,58,2204,242,2.07,4562
20,"d","",,,,,,
20,"d","Other States 5/ 6/",28,48,1349,340,4.90,6610
20,"d","",,,,,,
20,"d","United States 6/ 7/",2696,46.9,126466,23527,2.54,321224
20,"c",""
20,"f","1/ Honey producing colonies are the maximum number of colonies from which honey was harvested during the year. It is possible to harvest honey from colonies which did not survive the entire year."
20,"f","2/ Stocks held by producers."
20,"f","3/ Average price per pound based on expanded sales."
20,"f","4/ Value of production is equal to production multiplied by average price per pound."
20,"f","5/ Includes data for States not published in this table."
20,"f","6/ Due to rounding, total colonies multiplied by total yield may not exactly equal production."
20,"f","7/ United States value of production will not equal summation of States."
18,"t","Honey: Released March 18, 2022, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
18,"t","Honey Price by Color Class – United States: 2020 and 2021"
18,"h","","","","","","",""
18,"h","","Co-op and private","Co-op and private","Retail","Retail","All","All"
18,"h","Color class","","","","","",""
18,"h","","2020","2021","2020","2021","2020","2021"
18,"h","","","","","","",""
18,"u","","(dollars per pound)","(dollars per pound)","(dollars per pound)","(dollars per pound)","(dollars per pound)","(dollars per pound)"
18,"d","Water white, extra white, white",1.73,2.22,4.18,5.35,1.81,2.30
18,"d","",,,,,,
18,"d","Extra light amber",1.81,2.24,4.67,3.80,1.93,2.35
18,"d","",,,,,,
18,"d","Light amber, amber, dark amber",2.00,2.42,5.51,5.51,2.53,2.85
18,"d","",,,,,,
18,"d","All other honey, area specialties",2.39,2.55,7.23,6.71,3.00,3.56
18,"d","",,,,,,
18,"d","All honey",1.84,2.30,5.23,5.04,2.10,2.54
18,"c",""
27,"t","Honey: Released March 18, 2022, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
27,"t","Income and Expenditures – United States: 2020 and 2021"
27,"t","[Represents income and expenditures on the total number of colonies, regardless of whether honey was harvested]"
27,"h","","",""
27,"h","Item","2020","2021"
27,"h","","",""
27,"u","","(1,000 dollars)","(1,000 dollars)"
27,"d","Income",,
27,"d","Pollination income",254282,268590
27,"d","Other income 1/",55773,101688
27,"d","",,
27,"d","Expenditures",,
27,"d","Varroa control and treatment",11706,11565
27,"d","Other colony issues 2/",3166,3066
27,"d","Feed 3/",40930,42582
27,"d","Foundation",6567,7064
27,"d","Hives/woodenware",11153,9863
27,"c",""
27,"f","1/ Includes sales of queens, queen cells, beeswax, propolis, etc."
27,"f","2/ Includes Nosema, tracheal mites, foulbrood, paralysis, Kashmir, cloudy wing, etc."
27,"f","3/ Includes syrup, sugar water, honey, pollen patties, and other feeds."
28,"t","Honey: Released March 18, 2022, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
28,"t","Queen, Package, and Nuc Prices Paid – United States: 2020 and 2021"
28,"t","[Represents prices paid on the total number of colonies, regardless of whether honey was harvested]"
28,"h","","",""
28,"h","Item","2020","2021"
28,"h","","",""
28,"u","","(dollars)","(dollars)"
28,"d","Queen",18,20
28,"d","Package",84,91
28,"d","Nuc",106,125
28,"c",""
25,"t","Honey: Released March 18, 2022, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
25,"t","Apiary Workers – United States: 2020 and 2021"
25,"t","[Represents number of paid and unpaid workers that worked with colonies, regardless of whether honey was harvested]"
25,"h","","",""
25,"h","Item","2020","2021"
25,"h","","",""
25,"u","","(workers)","(workers)"
25,"d","Apiary workers",24000,24000
25,"c",""
34,"t","Honey: Released March 18, 2022, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
34,"t","Reliability of Honey Estimates"
34,"t","[Based on data for the previous ten years]"
34,"h","","","","","","","",""
34,"h","","Root mean","90 percent","Difference between first and latest estimate","Difference between first and latest estimate","Difference between first and latest estimate","Difference between first and latest estimate","Difference between first and latest estimate"
34,"h","","square error","confidence","","","","",""
34,"h","","","level","","","","",""
34,"h","Item","","","","","","Years","Years"
34,"h","","","","","","","",""
34,"h","","","","Average","Smallest","Largest","Below latest","Above latest"
34,"h","","","","","","","",""
34,"u","","(percent)","(percent)","(1,000)","(1,000)","(1,000)","(number)","(number)"
34,"d","Honey producing colonies",1.1,2.0,13,-,85,6,1
34,"d","",,,,,,,
34,"d","Honey production",1.2,2.1,846,-,4796,6,1
34,"d","",,,,,,,
34,"c",""
34,"f","-  Represents zero."
